Steps,Reward
0,88.07457956068477
250,84.82497063765561
500,65.87344150854042
750,99.08806768653608
1000,81.56685417031679
1250,61.17812849551423
1500,62.81605162058744
1750,56.68065796818577
2000,81.9697916365111
2250,75.11810408850529
2500,83.24936204354786
2750,92.15112424296862
3000,63.90275749765723
3250,69.1335635013709
3500,82.24888923414517
3750,52.725374892863115
4000,55.033777727047365
4250,68.94609218600479
4500,55.61995005853601
4750,58.070188827943184
5000,1000
5250,1000
5500,1000
5750,1000
6000,1000
6250,1000
6500,1000
6750,1000
7000,1000
7250,1000
