"Step","First-successful-run - reward","First-successful-run - reward__MIN","First-successful-run - reward__MAX"
"250","39","39","39"
"500","50","50","50"
"750","42","42","42"
"1000","59","59","59"
"1250","43","43","43"
"1500","67","67","67"
"1750","62","62","62"
"2000","62","62","62"
"2250","52","52","52"
"2500","61","61","61"
"2750","76","76","76"
"3000","54","54","54"
"3250","58","58","58"
"3500","56","56","56"
"3750","56","56","56"
"4000","58","58","58"
"4250","1000","1000","1000"
"4500","1000","1000","1000"
"4750","1000","1000","1000"
"5000","1000","1000","1000"
"5250","191","191","191"
"5500","245","245","245"
"5750","210","210","210"
"6000","72","72","72"
"6250","81","81","81"
"6500","165","165","165"
"6750","87","87","87"
"7000","53","53","53"
"7250","59","59","59"
"7500","47","47","47"
"7750","42","42","42"
"8000","42","42","42"
"8250","40","40","40"
"8500","42","42","42"
"8750","41","41","41"
"9000","43","43","43"
"9250","42","42","42"
"9500","53","53","53"
"9750","1000","1000","1000"
"10000","1000","1000","1000"
"10250","1000","1000","1000"
"10500","1000","1000","1000"
"10750","1000","1000","1000"
"11000","1000","1000","1000"
"11250","1000","1000","1000"
"11500","1000","1000","1000"
"11750","1000","1000","1000"
"12000","1000","1000","1000"
"12250","1000","1000","1000"
"12500","1000","1000","1000"
"12750","1000","1000","1000"
"13000","1000","1000","1000"
"13250","1000","1000","1000"
"13500","1000","1000","1000"
"13750","1000","1000","1000"
"14000","1000","1000","1000"
"14250","1000","1000","1000"
"14500","1000","1000","1000"
"14750","1000","1000","1000"
"15000","1000","1000","1000"
"15250","1000","1000","1000"
"15500","1000","1000","1000"
"15750","1000","1000","1000"
"16000","1000","1000","1000"
"16250","1000","1000","1000"
"16500","1000","1000","1000"
"16750","1000","1000","1000"
"17000","1000","1000","1000"
"17250","1000","1000","1000"
"17500","1000","1000","1000"
"17750","1000","1000","1000"
"18000","1000","1000","1000"
"18250","1000","1000","1000"
