"Step","R1","R2","R3"
"250","50.1806366229036","50.1806366229036","50.1806366229036"
"500","38.34216685525482","38.34216685525482","38.34216685525482"
"750","40.29747967419113","40.29747967419113","40.29747967419113"
"1000","173.30172886083824","173.30172886083824","173.30172886083824"
"1250","178.84873831744264","178.84873831744264","178.84873831744264"
"1500","194.64778670836182","194.64778670836182","194.64778670836182"
"1750","185.45001234237486","185.45001234237486","185.45001234237486"
"2000","149.99200733256822","149.99200733256822","149.99200733256822"
"2250","189.63062638211755","189.63062638211755","189.63062638211755"
"2500","207.96768226909822","207.96768226909822","207.96768226909822"
"2750","165.55455536165886","165.55455536165886","165.55455536165886"
"3000","176.27496110258664","176.27496110258664","176.27496110258664"
"3250","256.1450185927061","256.1450185927061","256.1450185927061"
"3500","199.97328969198185","199.97328969198185","199.97328969198185"
"3750","199.95723543678878","199.95723543678878","199.95723543678878"
"4000","366.69232639265846","366.69232639265846","366.69232639265846"
"4250","337.6815097958924","337.6815097958924","337.6815097958924"
"4500","625.9758451500918","625.9758451500918","625.9758451500918"
"4750","408.19224021999366","408.19224021999366","408.19224021999366"
"5000","688.0020770801146","688.0020770801146","688.0020770801146"
"5250","1024.3653359333782","1024.3653359333782","1024.3653359333782"
"5500","301.14526716389423","301.14526716389423","301.14526716389423"
"5750","1021.8250532196828","1021.8250532196828","1021.8250532196828"
"6000","337.47109401782984","337.47109401782984","337.47109401782984"
"6250","283.31200005594997","283.31200005594997","283.31200005594997"
"6500","304.34091637837","304.34091637837","304.34091637837"
"6750","220.48316808366388","220.48316808366388","220.48316808366388"
"7000","311.8812808163934","311.8812808163934","311.8812808163934"
"7250","302.85071674367236","302.85071674367236","302.85071674367236"
"7500","241.89878491935715","241.89878491935715","241.89878491935715"
"7750","319.11833176305976","319.11833176305976","319.11833176305976"
"8000","335.1330470509451","335.1330470509451","335.1330470509451"
"8250","1052.3406730339761","1052.3406730339761","1052.3406730339761"
"8500","265.2382297354434","265.2382297354434","265.2382297354434"
"8750","327.2988368531544","327.2988368531544","327.2988368531544"
"9000","291.60693361577137","291.60693361577137","291.60693361577137"
"9250","264.0471729342095","264.0471729342095","264.0471729342095"
"9500","232.9026496547398","232.9026496547398","232.9026496547398"
"9750","131.8240305184035","131.8240305184035","131.8240305184035"
"10000","232.4784519174297","232.4784519174297","232.4784519174297"
"10250","224.10649579005164","224.10649579005164","224.10649579005164"
"10500","50.56576085912347","50.56576085912347","50.56576085912347"
"10750","55.18469966709266","55.18469966709266","55.18469966709266"
"11000","64.27704721049746","64.27704721049746","64.27704721049746"
"11250","256.61585920911585","256.61585920911585","256.61585920911585"
"11500","329.5748329194994","329.5748329194994","329.5748329194994"
"11750","243.16495277287166","243.16495277287166","243.16495277287166"
"12000","357.03678207335116","357.03678207335116","357.03678207335116"
"12250","281.34356892521987","281.34356892521987","281.34356892521987"
"12500","278.3519805102896","278.3519805102896","278.3519805102896"
"12750","358.0863150758526","358.0863150758526","358.0863150758526"
"13000","396.47909693637405","396.47909693637405","396.47909693637405"
"13250","382.04986572354693","382.04986572354693","382.04986572354693"
"13500","410.7545808587247","410.7545808587247","410.7545808587247"
"13750","366.13852595342115","366.13852595342115","366.13852595342115"
"14000","427.52303980659786","427.52303980659786","427.52303980659786"
"14250","513.5632101479655","513.5632101479655","513.5632101479655"
"14500","247.13494899209934","247.13494899209934","247.13494899209934"
"14750","570.3482110687983","570.3482110687983","570.3482110687983"
"15000","361.51406003255863","361.51406003255863","361.51406003255863"
"15250","371.8867243955893","371.8867243955893","371.8867243955893"
"15500","505.45847405498586","505.45847405498586","505.45847405498586"
"15750","310.05173363271524","310.05173363271524","310.05173363271524"
"16000","251.67332291670542","251.67332291670542","251.67332291670542"
"16250","281.43306987545895","281.43306987545895","281.43306987545895"
"16500","355.8044158690474","355.8044158690474","355.8044158690474"
"16750","236.72908687655843","236.72908687655843","236.72908687655843"
"17000","211.88630008292745","211.88630008292745","211.88630008292745"
"17250","328.91025359572194","328.91025359572194","328.91025359572194"
"17500","322.35582277350596","322.35582277350596","322.35582277350596"
