x,y,std
0.25,,
0.5,,
0.75,,
1.0,,
1.25,,
1.5,,
1.75,,
2.0,,
2.25,,
2.5,,
2.75,,
3.0,,
3.25,,
3.5,,
3.75,,
4.0,,
4.25,,
4.5,,
4.75,,
5.0,,
5.25,156.7931430282285,234.00342155804688
5.5,301.5461440435929,208.4902004448087
5.75,118.38473609570342,279.90813788551395
6.0,392.493488191758,199.4341686640411
6.25,175.49844273237636,304.403059833088
6.5,454.59444666551934,184.72965691207125
6.75,312.4831458269692,244.17571250546695
7.0,240.0313118519298,334.0336866095219
7.25,82.43136075581477,252.47651803257844
7.5,404.72673112247827,248.24176922598363
7.75,402.4516684252426,206.4444565192053
8.0,308.2650096315653,299.294179521004
8.25,263.5546942099223,208.14265249587325
8.5,154.36591629733513,319.79333656141273
8.75,301.9366818477982,257.9500496701051
9.0,268.3928255707669,282.5545353108095
9.25,324.4378793719871,286.3498541967308
9.5,285.1814924864644,128.1279302032495
9.75,179.30784286603512,104.01059344422988
10.0,181.80261789703766,229.5229076878658
10.25,177.62032482297693,271.8835606120738
10.5,257.7003637841883,289.1474482487323
10.75,165.87780690044707,315.6058222183999
11.0,301.07533109713347,256.68101310126605
11.25,176.89216576504023,196.04727288602135
11.5,256.2600655894857,188.68897242482672
11.75,246.73080682667592,291.7186931568497
12.0,75.72161017946848,305.09909078921856
12.25,142.23845742915486,231.95588898030815
12.5,52.69414665254259,316.85791228417213
12.75,44.29603161223264,240.47707103592674
13.0,161.14563446582105,302.7422511370386
13.25,194.05909405765388,185.32821666368264
13.5,375.71025033287196,209.33531054400183
13.75,236.60365405703075,335.18172131927486
14.0,299.992473189303,254.06954406700757
14.25,299.51937914655025,165.9265978861271
14.5,126.61529686642727,131.3482872162439
14.75,184.3552577739299,231.0360591425269
15.0,225.66343197033427,340.798591236152
15.25,286.9706969318071,234.19180318718037
15.5,189.56057682873276,248.3893969888212
15.75,322.46910369886,163.21027975852292
16.0,270.0452240638013,296.5679476066961
16.25,250.73324456261722,192.67785101871004
16.5,239.33720761509133,307.60606913007035
16.75,338.2792601662305,246.6900076820498
17.0,26.630547215779668,129.81582935055198
17.25,365.0772189098158,164.89653397214315
17.5,224.59431282090284,238.20246892604655
17.75,189.78443898135728,212.97488294722606
18.0,130.518672050704,222.32238267905998
18.25,237.74647100293615,279.62665400587883
18.5,289.3240347246281,351.08392339675015
18.75,306.89911400142176,220.96442112989274
19.0,144.25597717569755,257.3061673464224
19.25,342.6809668280204,294.56364516130134
19.5,228.6712696171102,101.55676660360575
19.75,204.92333572189,274.32502482690325
20.0,422.74113212242696,162.91130763485904
20.25,336.2349627059777,186.56966821261085
20.5,154.7812850839876,188.90805706974135
20.75,134.6300026155991,264.00693960698186
21.0,366.94305540128175,256.74554256479837
21.25,120.17081935897166,182.7887184639872
21.5,193.89032517237794,192.51206360327237
21.75,234.30561895622228,230.41310385320034
22.0,139.43476667396942,223.56384431909444
22.25,196.92802906359157,256.16698370961404
22.5,340.39242441702544,333.7457078835752
22.75,401.95405706230576,216.54935930546537
23.0,138.69790731347928,173.5899947662667
23.25,223.94969980627243,232.2060514732217
23.5,248.4900596364107,244.26137158386607
23.75,433.9882200670013,234.91737663409074
24.0,230.48739437788393,215.74055152057002
24.25,259.40481455460446,272.3251839717636
24.5,278.2751511700761,181.71084792014386
24.75,276.617798826704,290.49242871194144
25.0,364.6640486556815,212.6644669738351
25.25,423.9622434229861,294.7817739287765
25.5,298.38872829921985,137.48162890013106
25.75,421.34289092977247,249.59631136734023
26.0,341.7841779578328,200.2584963707751
26.25,267.4027337223685,339.8569132506068
26.5,292.4143039732003,194.60238652933876
26.75,329.6086898640877,271.6761272432335
27.0,357.5122595715307,282.0999042147804
27.25,305.5040505018465,165.7827908201115
27.5,249.89175655986162,193.92025384226483
27.75,521.8459622300414,287.58510123323714
28.0,389.6284769886256,207.78094495925993
28.25,256.1981638991879,161.89947432665917
28.5,238.49832070463086,175.74920261547248
28.75,386.80884533253067,235.15826975552022
29.0,407.52727253210077,263.31113884950065
29.25,389.0191734029457,207.225345656869
29.5,206.53353327114235,239.45993369580242
29.75,293.0737579627125,144.27606859445092
30.0,471.54703966532946,202.02898393700974
30.25,350.9913489110143,331.15741123248114
30.5,437.0084512143848,272.02192234215687
30.75,517.8466313412723,132.62838138369423
31.0,610.3768050392281,210.56280842886437
31.25,342.701431067848,204.76199015051446
31.5,384.1893361959738,202.65324373202057
31.75,394.595282745488,255.20863990804926
32.0,473.7592048357863,328.6222571650817
32.25,396.2973026364663,284.48661930768543
32.5,531.8681787099923,215.17512951613142
32.75,632.2393414822159,324.66121630458167
33.0,662.8411519759576,220.57246860053627
33.25,620.5299040251549,264.8089492537965
33.5,502.30322819171215,241.91790608753314
33.75,616.232082896112,189.73659973825826
